"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.940291667E-2,1.236296492E-3,-4.407996312E-5,1.405266230E-3,1.872203310E-3
5.945191667E-2,-2.657263540E-4,1.149548218E-3,-3.526863002E-4,1.231445990E-3
6.950091667E-2,1.538032666E-3,-5.700546317E-4,8.567003533E-5,1.642512137E-3
7.954991667E-2,-1.699572313E-3,-5.730427802E-6,6.566517986E-4,1.822023729E-3
8.959891667E-2,-1.207313035E-4,8.688862436E-4,1.593518537E-4,8.915897965E-4
9.964791667E-2,-1.520194695E-3,1.038378105E-4,1.833939925E-3,2.384346839E-3
1.096969167E-1,-1.092224615E-3,1.362980343E-3,-8.326831739E-4,1.934949946E-3
1.197459167E-1,-7.922877558E-4,8.233054541E-4,3.251885646E-4,1.187981212E-3
1.297949167E-1,-8.101309650E-4,-1.189778093E-3,-3.869406937E-4,1.490505683E-3
1.398439167E-1,1.859307289E-3,-9.525879286E-4,5.170378136E-4,2.152156002E-3
1.498929167E-1,-1.393743907E-3,6.692772731E-4,-2.588208066E-3,3.014842474E-3
1.599409167E-1,-1.093980507E-3,2.155162860E-3,1.514775446E-3,2.852378823E-3
1.699899167E-1,-1.180000603E-3,-7.657920942E-4,-1.893812441E-4,1.419402765E-3
1.800389167E-1,-2.902613021E-3,5.143084563E-4,-5.424779374E-5,2.948324671E-3
1.900879167E-1,-1.043193974E-3,-1.978208311E-4,5.630729138E-4,1.201847683E-3
2.001369167E-1,1.592730987E-3,-4.652906209E-4,-1.722398214E-3,2.391640225E-3
2.101859167E-1,1.386602409E-3,-2.634227276E-4,-1.163666951E-3,1.829256283E-3
2.202349167E-1,2.120834251E-4,-1.117913518E-3,9.799820837E-4,1.501690680E-3
2.302839167E-1,9.657579940E-4,-2.758953255E-3,1.438844716E-3,3.258034021E-3
2.403329167E-1,1.125482842E-3,-5.468139425E-4,7.451621932E-4,1.456359780E-3
2.503819167E-1,4.530471051E-5,-1.115132589E-3,-2.289342228E-5,1.116287291E-3
2.604309167E-1,-4.246350727E-4,-1.643610653E-3,7.722084410E-4,1.864960267E-3
2.704799167E-1,1.955165761E-3,-2.983180806E-3,5.788628478E-4,3.613464137E-3
2.805289167E-1,-3.272498725E-4,1.059477217E-3,1.227578614E-4,1.115640599E-3
2.905779167E-1,9.396158275E-4,-2.063079271E-3,-1.798712881E-3,2.893880097E-3
3.006269167E-1,-1.803108957E-3,2.052452415E-3,6.393402000E-4,2.805800905E-3
3.106759167E-1,3.380734008E-3,-2.381710801E-3,-1.974249899E-4,4.140155239E-3
3.207249167E-1,1.259756740E-3,4.701977596E-4,-5.196026759E-4,1.441547751E-3
3.307739167E-1,2.205913042E-4,-1.033423003E-3,-3.810314229E-5,1.057390881E-3
3.408229167E-1,-1.155089820E-3,-1.828485169E-3,1.294690650E-3,2.520677366E-3
3.508719167E-1,-3.470868105E-4,1.030418091E-3,-4.133034963E-6,1.087312180E-3
3.609209167E-1,-2.144965343E-3,-2.769241808E-3,1.034742454E-3,3.652433225E-3
3.709689167E-1,5.791821168E-4,-6.554909050E-4,2.419852419E-3,2.573092688E-3
3.810179167E-1,2.665783511E-3,-3.711535363E-3,-8.036376676E-5,4.570377973E-3
3.910669167E-1,2.841186651E-4,-2.651331015E-3,6.815666566E-4,2.752237758E-3
4.011159167E-1,-2.186668804E-3,-9.235125035E-4,6.452700472E-4,2.459831140E-3
4.111649167E-1,4.192341585E-4,-7.917638868E-6,-4.149343586E-4,5.899071881E-4
4.212139167E-1,-2.404709812E-3,-4.022442736E-4,1.098220353E-3,2.674045190E-3
4.312629167E-1,4.486579564E-5,1.248916145E-3,-4.046014510E-4,1.313585480E-3
4.413119167E-1,-1.853466092E-4,-1.844954677E-4,-1.349124010E-3,1.374237074E-3
4.513609167E-1,-3.080469090E-3,-1.356819179E-3,-3.664209973E-3,4.975608790E-3
4.614099167E-1,-1.939923503E-3,-1.440360211E-4,4.992913455E-5,1.945904029E-3
4.714589167E-1,1.887039049E-3,-2.461784985E-3,-6.123990752E-4,3.161698011E-3
4.815079167E-1,-1.329224324E-3,-9.407824837E-4,2.957504243E-3,3.376202057E-3
