Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.010592417,0.232157767,-0.015676562,0.166981936,0.286401728
0.020641417,0.144332573,0.012866931,0.17979227,0.230917106
0.030691417,0.064985,-0.006014755,0.182197362,0.193533217
0.040740417,0.008030906,-0.001094565,0.161310717,0.161514213
0.050790417,-0.0282018,-0.006713351,0.139535859,0.142515496
0.060839417,-0.018533461,-0.061629597,0.121055387,0.137098881
0.070889417,0.029958487,-0.156824529,0.10477896,0.190971397
0.080938417,0.117570356,-0.24157618,0.085390352,0.281910183
0.090988417,0.179007515,-0.212539539,0.088401385,0.291601699
0.101037417,0.181851506,-0.007834602,0.114046566,0.214797511
0.111087417,0.156628907,0.185070947,0.136472091,0.278223833
0.121136417,0.159457177,0.207816213,0.13371332,0.29409764
0.131186417,0.163567752,0.146387264,0.12689133,0.253544967
0.141235417,0.159402564,0.089347675,0.113620274,0.215178417
0.151285417,0.162424982,0.064868599,0.091940694,0.197592765
0.161334417,0.165809587,0.028595811,0.059205115,0.178369799
0.171384417,0.168459252,-0.005540261,0.048172351,0.175299142
0.181433417,0.160487875,0.002109936,0.055457428,0.169812651
0.191483417,0.150090903,0.008457286,0.055678863,0.160308891
0.201532417,0.129848227,0.016822275,0.046862733,0.13906713
0.211582417,0.092037521,0.033394389,0.04330653,0.10705861
0.221631417,0.064901508,0.010591337,0.041575473,0.077800399
0.231681417,0.059616782,-0.025589457,0.036354747,0.07436833
0.241730417,0.044752613,-0.03985681,0.031800743,0.067842825
0.251780417,0.01548101,-0.040369563,0.038688626,0.05801873
0.261829417,-0.012648095,-0.009156785,0.037673164,0.04078098
0.271879417,-0.038430624,0.019758644,0.035356775,0.055833846
0.281928417,-0.073808856,0.016713852,0.032114644,0.082209795
0.291978417,-0.123239659,-0.002879871,0.02931294,0.126710519
0.302027417,-0.159799263,-0.045656096,0.022965031,0.167772692
0.312077417,-0.169709355,-0.065554716,0.01054126,0.182235573
0.322126417,-0.151998535,-0.027325839,0.008001404,0.154642421
0.332176417,-0.102427095,0.031463534,0.017221486,0.108525773
0.342225417,-0.039547201,0.089643218,0.024522541,0.101001201
0.352275417,0.025494495,0.14029929,0.032727938,0.146304402
0.362324417,0.083287485,0.172318473,0.030630967,0.193826514
0.372374417,0.117443949,0.163986012,0.013502353,0.202155403
0.382423417,0.121261321,0.112363018,-0.019782366,0.16649654
0.392473417,0.10622678,0.052254036,-0.06251888,0.133877643
0.402522417,0.079370134,0.064574882,-0.086386666,0.133911126
0.412572417,0.066675864,0.074902602,-0.086032212,0.132127257
0.422621417,0.086158752,0.082508326,-0.071463659,0.13906117
0.432671417,0.124407381,0.105048008,-0.049562871,0.170202111
0.442720417,0.168174297,0.123550057,-0.027427208,0.210474375
0.452770417,0.186899886,0.133696064,-0.008030826,0.229936293
0.462819417,0.187984601,0.126267448,0.004859939,0.226506727
0.472869417,0.173351943,0.10887064,0.003971014,0.204742476
0.482918417,0.114541635,0.136180028,0.007601169,0.178108293
0.492968417,0.02641191,0.180225194,0.018041501,0.183041539
0.503017417,-0.04067871,0.156842649,0.014582588,0.162686895
0.513067417,-0.087230809,0.133808419,0.012418751,0.160212772
0.523116417,-0.119028956,0.124336354,0.019026585,0.173174572
0.533166417,-0.12357901,0.11223574,0.04722172,0.173489262
0.543215417,-0.119069479,0.121213518,0.073506854,0.185131077
0.553265417,-0.127029747,0.164159626,0.086578146,0.224901566
0.563314,-0.141580731,0.189686298,0.078139916,0.249262596
0.573364,-0.158361867,0.181105807,0.05687841,0.247210331
0.583413,-0.175292909,0.15631631,0.034455925,0.237380714
0.593463,-0.19810009,0.128893152,0.013225147,0.236710783
0.603512,-0.209855556,0.107331403,0.005477478,0.235774018
0.613562,-0.25109759,0.134633973,0.022315286,0.285787121
0.623611,-0.349106967,0.210911438,0.06248774,0.412630618
0.633661,-0.472765207,0.320558369,0.100251012,0.579926611
0.64371,-0.562474012,0.365370572,0.128237098,0.682874383
0.65376,-0.587373376,0.33356756,0.131200999,0.688105008
0.663809,-0.55985415,0.251909167,0.118773095,0.625301484
0.673859,-0.490270734,0.166178197,0.122591034,0.53198604
0.683908,-0.382887274,0.10248816,0.142637178,0.421250344
0.693958,-0.248054892,0.082693122,0.186162412,0.320976363
0.704007,-0.094408602,0.106359035,0.243598267,0.282073296
0.714057,0.011050509,0.227834567,0.304882735,0.38076789
0.724106,-0.002408307,0.409024328,0.325371772,0.522660015
0.734156,-0.166866541,0.486159593,0.142792434,0.533465342
0.744205,-0.322982907,0.14119342,-0.576597691,0.675809468
0.754255,-0.195136696,-0.848958552,-2.251355886,2.414003372
0.764304,0.751039684,-2.324293137,-4.902706146,5.477492743
0.774354,2.532582045,-2.940974951,-8.758044243,9.579490823
0.784403,3.760810614,-0.925970912,-14.83344936,15.33076445
0.794453,5.880248547,-0.787351489,-24.62763977,25.33215123
0.804502,6.231646061,-3.369478226,-33.04784775,33.79862478
0.814552,5.220238209,-5.000310898,-34.94748688,35.68726433
0.824601,3.090182066,-6.452604294,-34.94466019,35.66951924
0.834651,0.511808872,-7.101312637,-34.93902206,35.65705894
0.8447,-2.127968311,-6.797209263,-34.93745041,35.65607584
0.85475,-4.47416544,-5.603462219,-34.94103622,35.66921583
0.864799,-6.210258007,-3.690426588,-34.94732666,35.68616249
0.874849,-7.12478447,-1.324589729,-34.95615768,35.6994405
0.884898,-7.099994183,1.175966501,-34.96709442,35.7000071
0.894948,-6.15239048,3.496011972,-34.97771454,35.68633524
0.904997,-4.401053429,5.318503857,-34.98778534,35.66231733
0.915047,-2.089790106,6.419290066,-34.99466705,35.63988257
0.925096,0.483213246,6.634832859,-34.99810028,35.62473193
0.935146,2.960056782,5.948331833,-34.99738693,35.6224884
0.945195,5.000318527,4.460564137,-34.99264145,35.62842648
0.955245,6.346923351,2.386623144,-34.98577118,35.63682914
0.965294,6.828798294,0.000312322,-34.97553253,35.635942
0.975344,6.394730091,-2.383085251,-34.96482086,35.62457531
0.985393,5.104273796,-4.451546192,-34.95542908,35.60550374
0.995443,3.128700495,-5.943930149,-34.94650269,35.58619286
1.005492,0.730401397,-6.652420044,-34.94104385,35.57618198
