"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.767499995E-3,-1.010426786E-2,-2.324782610E-1,-8.401471376E-2,2.473998993E-1
1.681750000E-2,-4.476520233E-3,-2.514493167E-1,-1.048773974E-1,2.724813142E-1
2.686650000E-2,-5.002761260E-3,-2.558797300E-1,-1.042318493E-1,2.763399035E-1
3.691650000E-2,-1.232061721E-2,-2.315417826E-1,-1.004440412E-1,2.526903245E-1
4.696550000E-2,-1.514143683E-2,-2.187458277E-1,-9.285589308E-2,2.381201737E-1
5.701449999E-2,-3.160101548E-2,-2.359628826E-1,-9.338636696E-2,2.557305607E-1
6.706450000E-2,-4.849477857E-2,-2.816651165E-1,-1.120228991E-1,3.069790080E-1
7.711350000E-2,-4.799867794E-2,-3.520550728E-1,-1.132196411E-1,3.729146477E-1
8.716250000E-2,-4.955183342E-2,-4.466729164E-1,-1.066344455E-1,4.618906618E-1
9.721250000E-2,-7.474593818E-2,-4.910189509E-1,-1.147160977E-1,5.097512614E-1
1.072615000E-1,-1.012153625E-1,-4.642693698E-1,-1.109495908E-1,4.879553351E-1
1.173105000E-1,-1.143684387E-1,-4.120182097E-1,-8.564193547E-2,4.360890804E-1
1.273605000E-1,-1.186878234E-1,-3.871080875E-1,-7.599277049E-2,4.119640422E-1
1.374095000E-1,-1.142060608E-1,-3.996090293E-1,-7.642972469E-2,4.225776892E-1
1.474595000E-1,-1.142915487E-1,-4.720688462E-1,-4.730672389E-2,4.880056145E-1
1.575085000E-1,-1.201705858E-1,-5.596361160E-1,6.058456376E-3,5.724248920E-1
1.675575000E-1,-9.741094708E-2,-5.834802389E-1,6.109268218E-2,5.947019402E-1
1.776075000E-1,-8.800595254E-2,-4.699653685E-1,1.133963764E-1,4.913972257E-1
1.876565000E-1,-7.030151784E-2,-2.996791303E-1,1.166337207E-1,3.291706387E-1
1.977055000E-1,-5.914305523E-2,-2.122400105E-1,7.882495224E-2,2.340023422E-1
2.077555000E-1,-3.155750036E-2,-2.722881734E-1,5.201544613E-2,2.790023868E-1
2.178045000E-1,9.016429074E-3,-4.376586080E-1,3.718788177E-2,4.393282277E-1
2.278545000E-1,4.824479297E-2,-5.677084327E-1,3.008522838E-2,5.705484603E-1
2.379035000E-1,7.523760945E-2,-4.890623689E-1,3.054252826E-2,4.957575461E-1
2.479525000E-1,8.370779455E-2,2.174204681E-3,8.641111851E-2,1.203270686E-1
2.580025000E-1,9.438323975E-2,1.216244459E0,2.356295884E-1,1.242449228E0
2.680515000E-1,-7.097269595E-2,3.820101738E0,5.026485324E-1,3.853682649E0
2.781005000E-1,-5.254991651E-1,9.453613281E0,5.492578149E-1,9.484125558E0
2.881505000E-1,-5.141525269E-1,1.864735222E1,2.359068245E-1,1.865593068E1
2.981995000E-1,-9.473021328E-2,2.966942215E1,2.527566552E-1,2.967064998E1
3.082495000E-1,3.024823964E-1,3.467776489E1,-1.060227957E-2,3.467908571E1
3.182985000E-1,1.728109956E0,3.469539261E1,-9.836845398E-1,3.475232751E1
3.283475000E-1,3.912374735E0,3.468914032E1,-2.733624220E0,3.501593685E1
3.383975000E-1,3.959633589E0,3.468838882E1,-3.113049507E0,3.505216248E1
3.484465000E-1,5.372694969E0,3.469185638E1,-1.891298771E0,3.515633317E1
3.584955000E-1,5.937077522E0,3.469684601E1,-2.589103580E-1,3.520208867E1
3.685455000E-1,5.467035294E0,3.470188904E1,1.397370219E0,3.515767656E1
3.785945000E-1,4.081363678E0,3.470701599E1,2.698941231E0,3.505023213E1
3.886435000E-1,2.078161001E0,3.470975113E1,3.367098570E0,3.493455208E1
3.986935000E-1,-9.281348437E-2,3.470960617E1,3.245755911E0,3.486115756E1
4.087425000E-1,-1.940731168E0,3.470664597E1,2.367740393E0,3.484141080E1
