Lower voltage [V],counts 1,counts 2,counts 3,count 4,count average,current [mcroA]
1700,126,142,139,120,131.75,1178
1750,332,336,321,339,332,1250
1800,644,649,600,617,627.5,1288
1850,1181,1157,1148,1146,1158,1342
1900,1851,2052,1878,2002,1945.75,1396
1950,3564,3470,3435,3342,3452.75,1449
2000,6478,6398,6426,6407,6427.25,1502
2050,15025,14806,15018,14854,14925.75,1556
2100,20532,20641,20420,20304,20474.25,1610
2150,23272,23227,23192,22999,23172.5,1662
2200,25080,24581,24440,24735,24709,1716
2250,26617,26003,25827,26565,26253,1769
2300,27668,27468,27670,27593,27599.75,1822
